claim_id,claim_date,province,claim_types,claim_amount,claim_status
434,2025-03-15,Gauteng,Home Insurance,45582,Rejected
383,2025-03-16,Mpumalanga,Motor Vehicle,13265,Approved
580,2025-03-16,Western Cape,Home Insurance,39811,Approved
978,2025-03-16,KwaZulu-Natal,Home Insurance,12676,Rejected
857,2025-03-16,Gauteng,Home Insurance,18413,Approved
716,2025-03-16,KwaZulu-Natal,Home Insurance,29327,Rejected
408,2025-03-17,Gauteng,Home Insurance,39578,Pending
331,2025-03-17,Free State,Motor Vehicle,22904,Rejected
766,2025-03-19,North West,Health Insurance,17678,Approved
556,2025-03-19,Mpumalanga,Life Insurance,21792,Approved
928,2025-03-19,Limpopo,Health Insurance,6618,Approved
633,2025-03-19,Northern Cape,Health Insurance,23693,Rejected
654,2025-03-19,North West,Health Insurance,2306,Pending
489,2025-03-21,North West,Life Insurance,1680,Approved
151,2025-03-22,Western Cape,Home Insurance,44369,Pending
53,2025-03-22,Limpopo,Health Insurance,45283,Rejected
596,2025-03-22,Gauteng,Motor Vehicle,47220,Pending
944,2025-03-23,North West,Health Insurance,49409,Rejected
553,2025-03-24,Western Cape,Home Insurance,27113,Approved
876,2025-03-25,Northern Cape,Business Insurance,36468,Rejected
940,2025-03-26,Eastern Cape,Home Insurance,28964,Pending
555,2025-03-26,Free State,Motor Vehicle,18266,Pending
334,2025-03-27,Eastern Cape,Motor Vehicle,27536,Rejected
120,2025-03-27,Gauteng,Motor Vehicle,48832,Rejected
673,2025-03-27,Limpopo,Home Insurance,35039,Pending
910,2025-03-28,Free State,Life Insurance,48221,Approved
12,2025-03-29,Mpumalanga,Business Insurance,23005,Pending
927,2025-03-29,North West,Business Insurance,31049,Pending
770,2025-03-30,Mpumalanga,Motor Vehicle,20296,Approved
735,2025-03-31,Gauteng,Health Insurance,2551,Pending
377,2025-03-31,Free State,Motor Vehicle,15270,Approved
515,2025-03-31,Western Cape,Home Insurance,5946,Pending
464,2025-04-01,Gauteng,Life Insurance,12108,Rejected
46,2025-04-02,Eastern Cape,Business Insurance,31499,Pending
293,2025-04-02,Free State,Life Insurance,3787,Pending
619,2025-04-03,Mpumalanga,Business Insurance,49209,Pending
339,2025-04-04,Gauteng,Home Insurance,23626,Approved
612,2025-04-05,Northern Cape,Business Insurance,33969,Pending
814,2025-04-05,Western Cape,Life Insurance,2637,Pending
565,2025-04-05,Free State,Business Insurance,47289,Approved
749,2025-04-05,KwaZulu-Natal,Motor Vehicle,35761,Rejected
323,2025-04-06,Limpopo,Motor Vehicle,33598,Pending
926,2025-04-06,Free State,Business Insurance,26521,Approved
392,2025-04-06,Northern Cape,Home Insurance,17964,Pending
110,2025-04-06,Limpopo,Life Insurance,7155,Pending
795,2025-04-07,KwaZulu-Natal,Motor Vehicle,8352,Approved
585,2025-04-08,Gauteng,Home Insurance,32802,Approved
200,2025-04-09,Eastern Cape,Motor Vehicle,2757,Approved
99,2025-04-09,Eastern Cape,Life Insurance,49861,Rejected
544,2025-04-09,Eastern Cape,Home Insurance,41893,Rejected
255,2025-04-09,Eastern Cape,Health Insurance,46550,Pending
262,2025-04-09,KwaZulu-Natal,Business Insurance,23357,Pending
416,2025-04-09,KwaZulu-Natal,Health Insurance,31206,Rejected
391,2025-04-09,Gauteng,Business Insurance,44884,Approved
215,2025-04-09,Western Cape,Life Insurance,48153,Approved
351,2025-04-10,Free State,Motor Vehicle,3179,Approved
14,2025-04-10,Limpopo,Motor Vehicle,19971,Rejected
307,2025-04-13,Gauteng,Life Insurance,43589,Pending
582,2025-04-13,Eastern Cape,Motor Vehicle,24620,Rejected
1,2025-04-13,Limpopo,Life Insurance,29099,Approved
209,2025-04-14,Eastern Cape,Life Insurance,9811,Rejected
276,2025-04-14,KwaZulu-Natal,Life Insurance,19601,Approved
781,2025-04-14,Western Cape,Home Insurance,42701,Pending
543,2025-04-15,North West,Health Insurance,2855,Approved
57,2025-04-16,Mpumalanga,Health Insurance,27672,Approved
595,2025-04-16,Western Cape,Life Insurance,40200,Rejected
313,2025-04-16,Northern Cape,Motor Vehicle,46740,Rejected
834,2025-04-16,Western Cape,Home Insurance,22225,Pending
642,2025-04-17,Mpumalanga,Motor Vehicle,17346,Pending
4,2025-04-17,Eastern Cape,Life Insurance,6832,Pending
977,2025-04-19,KwaZulu-Natal,Motor Vehicle,1717,Rejected
424,2025-04-19,Western Cape,Life Insurance,24064,Approved
684,2025-04-19,Northern Cape,Business Insurance,41585,Rejected
688,2025-04-21,Free State,Life Insurance,3093,Approved
610,2025-04-21,Limpopo,Health Insurance,26991,Approved
686,2025-04-21,Western Cape,Life Insurance,12336,Approved
212,2025-04-22,Gauteng,Home Insurance,29399,Pending
152,2025-04-23,Western Cape,Business Insurance,12704,Approved
150,2025-04-23,Free State,Motor Vehicle,8659,Approved
143,2025-04-23,KwaZulu-Natal,Motor Vehicle,44615,Approved
732,2025-04-23,Free State,Health Insurance,28586,Rejected
902,2025-04-23,Eastern Cape,Health Insurance,30345,Pending
903,2025-04-24,Limpopo,Health Insurance,47313,Rejected
379,2025-04-25,Northern Cape,Home Insurance,16523,Rejected
963,2025-04-25,Limpopo,Life Insurance,10359,Rejected
263,2025-04-26,Northern Cape,Health Insurance,42045,Pending
484,2025-04-27,Limpopo,Business Insurance,33934,Approved
854,2025-04-27,Gauteng,Health Insurance,24408,Rejected
318,2025-04-27,Mpumalanga,Life Insurance,2105,Rejected
729,2025-04-28,Mpumalanga,Motor Vehicle,48399,Pending
718,2025-04-28,Free State,Motor Vehicle,25944,Pending
570,2025-04-28,Mpumalanga,Health Insurance,1112,Approved
324,2025-04-28,Free State,Home Insurance,30961,Pending
802,2025-04-28,Gauteng,Health Insurance,30493,Pending
532,2025-04-29,Mpumalanga,Life Insurance,18376,Approved
949,2025-04-29,North West,Business Insurance,34584,Approved
314,2025-04-30,Eastern Cape,Motor Vehicle,42075,Rejected
930,2025-04-30,Free State,Life Insurance,2920,Approved
206,2025-04-30,North West,Home Insurance,12691,Approved
637,2025-05-01,Eastern Cape,Business Insurance,29890,Pending
7,2025-05-02,Gauteng,Motor Vehicle,40890,Approved
513,2025-05-02,Western Cape,Life Insurance,7033,Rejected
165,2025-05-03,Eastern Cape,Motor Vehicle,33430,Rejected
173,2025-05-04,Mpumalanga,Health Insurance,15824,Approved
297,2025-05-05,North West,Home Insurance,26242,Rejected
608,2025-05-06,Mpumalanga,Health Insurance,16166,Pending
675,2025-05-06,Gauteng,Life Insurance,28491,Pending
467,2025-05-06,Eastern Cape,Life Insurance,39078,Approved
319,2025-05-07,Western Cape,Life Insurance,16417,Approved
833,2025-05-07,KwaZulu-Natal,Motor Vehicle,27935,Rejected
962,2025-05-08,Gauteng,Motor Vehicle,31075,Rejected
269,2025-05-08,Free State,Life Insurance,9155,Pending
980,2025-05-08,Western Cape,Life Insurance,38825,Rejected
80,2025-05-09,Gauteng,Motor Vehicle,32128,Pending
812,2025-05-10,KwaZulu-Natal,Business Insurance,31449,Approved
158,2025-05-10,Limpopo,Motor Vehicle,33082,Rejected
996,2025-05-10,Western Cape,Motor Vehicle,28374,Pending
35,2025-05-11,Northern Cape,Motor Vehicle,21808,Pending
15,2025-05-11,North West,Motor Vehicle,26599,Rejected
202,2025-05-11,North West,Home Insurance,38853,Rejected
768,2025-05-12,Eastern Cape,Motor Vehicle,21411,Rejected
457,2025-05-12,Free State,Motor Vehicle,3832,Pending
832,2025-05-13,Free State,Home Insurance,36098,Rejected
429,2025-05-13,Free State,Life Insurance,21975,Rejected
597,2025-05-13,Limpopo,Business Insurance,47163,Pending
820,2025-05-14,Eastern Cape,Life Insurance,36529,Rejected
485,2025-05-14,Limpopo,Motor Vehicle,34276,Approved
93,2025-05-15,North West,Life Insurance,12867,Pending
224,2025-05-15,Northern Cape,Health Insurance,32279,Pending
850,2025-05-17,Western Cape,Home Insurance,16721,Pending
755,2025-05-17,Limpopo,Motor Vehicle,45781,Approved
707,2025-05-17,Eastern Cape,Life Insurance,30943,Rejected
598,2025-05-18,North West,Motor Vehicle,4765,Pending
83,2025-05-19,Eastern Cape,Motor Vehicle,16193,Pending
737,2025-05-19,Northern Cape,Motor Vehicle,35397,Pending
733,2025-05-20,Mpumalanga,Motor Vehicle,18568,Approved
884,2025-05-21,Limpopo,Home Insurance,42605,Pending
827,2025-05-21,Western Cape,Home Insurance,18186,Rejected
501,2025-05-23,Mpumalanga,Motor Vehicle,19287,Rejected
292,2025-05-23,Mpumalanga,Home Insurance,13297,Pending
777,2025-05-23,Free State,Motor Vehicle,36585,Pending
190,2025-05-24,Limpopo,Health Insurance,40188,Pending
894,2025-05-24,Free State,Motor Vehicle,8081,Pending
171,2025-05-24,Gauteng,Motor Vehicle,19990,Rejected
414,2025-05-24,Limpopo,Home Insurance,20493,Rejected
422,2025-05-24,Eastern Cape,Motor Vehicle,36517,Pending
554,2025-05-25,Free State,Home Insurance,20477,Rejected
778,2025-05-25,Western Cape,Home Insurance,21025,Approved
521,2025-05-25,KwaZulu-Natal,Life Insurance,44833,Pending
677,2025-05-25,Eastern Cape,Business Insurance,42243,Approved
535,2025-05-26,Free State,Home Insurance,11578,Approved
979,2025-05-26,Western Cape,Business Insurance,5434,Approved
685,2025-05-26,Western Cape,Health Insurance,12683,Pending
941,2025-05-27,Northern Cape,Health Insurance,12164,Approved
181,2025-05-27,North West,Life Insurance,36063,Pending
878,2025-05-28,Northern Cape,Motor Vehicle,45589,Rejected
182,2025-05-28,Gauteng,Life Insurance,35464,Pending
488,2025-05-29,Eastern Cape,Business Insurance,14050,Approved
298,2025-05-30,Free State,Life Insurance,3176,Rejected
939,2025-05-31,Limpopo,Motor Vehicle,5927,Rejected
186,2025-05-31,Free State,Business Insurance,48118,Approved
421,2025-05-31,Free State,Motor Vehicle,28990,Approved
204,2025-06-01,Gauteng,Health Insurance,2116,Pending
216,2025-06-02,Western Cape,Motor Vehicle,43506,Rejected
986,2025-06-02,North West,Motor Vehicle,38405,Pending
332,2025-06-03,Mpumalanga,Life Insurance,44361,Pending
567,2025-06-03,KwaZulu-Natal,Motor Vehicle,17199,Pending
273,2025-06-04,Western Cape,Home Insurance,20710,Pending
873,2025-06-05,Limpopo,Life Insurance,28886,Approved
807,2025-06-06,Gauteng,Home Insurance,8296,Pending
809,2025-06-06,Free State,Motor Vehicle,36842,Pending
75,2025-06-06,Free State,Business Insurance,35926,Pending
793,2025-06-06,Mpumalanga,Motor Vehicle,11751,Rejected
960,2025-06-07,Northern Cape,Life Insurance,11655,Pending
250,2025-06-07,KwaZulu-Natal,Health Insurance,19793,Approved
803,2025-06-08,Northern Cape,Home Insurance,27711,Rejected
361,2025-06-09,Northern Cape,Home Insurance,29783,Rejected
197,2025-06-09,Mpumalanga,Motor Vehicle,44309,Rejected
118,2025-06-09,Eastern Cape,Life Insurance,46280,Rejected
266,2025-06-10,Gauteng,Home Insurance,19852,Rejected
23,2025-06-10,Free State,Motor Vehicle,10083,Rejected
219,2025-06-10,Mpumalanga,Life Insurance,43565,Rejected
869,2025-06-10,KwaZulu-Natal,Health Insurance,48517,Pending
908,2025-06-11,Free State,Health Insurance,48861,Approved
60,2025-06-11,Western Cape,Home Insurance,35441,Rejected
430,2025-06-12,Free State,Motor Vehicle,37218,Approved
218,2025-06-12,KwaZulu-Natal,Health Insurance,45523,Approved
763,2025-06-14,Mpumalanga,Health Insurance,30061,Pending
934,2025-06-14,Eastern Cape,Health Insurance,1238,Rejected
446,2025-06-14,Free State,Business Insurance,48135,Rejected
591,2025-06-15,Mpumalanga,Life Insurance,13253,Rejected
463,2025-06-16,Free State,Home Insurance,12156,Rejected
38,2025-06-16,Free State,Home Insurance,28747,Approved
368,2025-06-17,Mpumalanga,Home Insurance,17654,Pending
440,2025-06-17,Limpopo,Motor Vehicle,19375,Pending
991,2025-06-17,Eastern Cape,Health Insurance,42153,Pending
744,2025-06-17,Northern Cape,Motor Vehicle,44326,Pending
441,2025-06-19,Eastern Cape,Home Insurance,16088,Rejected
114,2025-06-20,Western Cape,Motor Vehicle,21963,Pending
248,2025-06-21,KwaZulu-Natal,Health Insurance,9711,Pending
742,2025-06-21,Limpopo,Business Insurance,6283,Approved
487,2025-06-22,Eastern Cape,Motor Vehicle,20873,Pending
469,2025-06-22,North West,Business Insurance,3610,Approved
725,2025-06-22,Gauteng,Home Insurance,22869,Rejected
439,2025-06-23,North West,Life Insurance,3708,Rejected
899,2025-06-24,KwaZulu-Natal,Home Insurance,48086,Rejected
279,2025-06-25,Mpumalanga,Life Insurance,21022,Approved
404,2025-06-26,Limpopo,Life Insurance,47694,Approved
538,2025-06-26,Northern Cape,Business Insurance,45367,Approved
870,2025-06-26,Mpumalanga,Business Insurance,7968,Pending
913,2025-06-27,Western Cape,Home Insurance,38275,Rejected
517,2025-06-27,North West,Life Insurance,35675,Approved
785,2025-06-28,KwaZulu-Natal,Business Insurance,39506,Rejected
864,2025-06-28,Eastern Cape,Home Insurance,33854,Pending
352,2025-06-29,Eastern Cape,Business Insurance,44798,Approved
867,2025-06-29,KwaZulu-Natal,Home Insurance,25527,Rejected
261,2025-06-30,Gauteng,Health Insurance,29247,Pending
845,2025-07-01,Free State,Business Insurance,45895,Rejected
462,2025-07-01,Western Cape,Life Insurance,33920,Approved
865,2025-07-01,Limpopo,Business Insurance,11704,Approved
935,2025-07-01,Eastern Cape,Life Insurance,33972,Approved
611,2025-07-02,Northern Cape,Life Insurance,39556,Rejected
164,2025-07-03,KwaZulu-Natal,Motor Vehicle,34840,Rejected
599,2025-07-03,Free State,Health Insurance,16950,Rejected
426,2025-07-05,Limpopo,Business Insurance,31106,Approved
174,2025-07-06,North West,Life Insurance,37081,Rejected
71,2025-07-07,Northern Cape,Business Insurance,32881,Pending
328,2025-07-08,North West,Business Insurance,47980,Rejected
296,2025-07-09,Western Cape,Life Insurance,20702,Approved
478,2025-07-09,North West,Business Insurance,2914,Pending
32,2025-07-09,Western Cape,Life Insurance,16233,Approved
393,2025-07-09,KwaZulu-Natal,Health Insurance,38726,Rejected
128,2025-07-09,Limpopo,Life Insurance,42448,Rejected
264,2025-07-10,Eastern Cape,Health Insurance,28691,Approved
480,2025-07-10,Western Cape,Home Insurance,20456,Approved
390,2025-07-11,Gauteng,Health Insurance,24155,Approved
667,2025-07-11,Free State,Business Insurance,15296,Pending
21,2025-07-11,KwaZulu-Natal,Life Insurance,39861,Pending
244,2025-07-11,Limpopo,Business Insurance,15122,Approved
443,2025-07-13,North West,Home Insurance,46046,Approved
900,2025-07-13,Eastern Cape,Health Insurance,25690,Rejected
721,2025-07-13,North West,Home Insurance,31131,Approved
618,2025-07-14,Limpopo,Life Insurance,2988,Approved
617,2025-07-14,KwaZulu-Natal,Life Insurance,26917,Rejected
225,2025-07-14,Limpopo,Motor Vehicle,31527,Pending
799,2025-07-15,Gauteng,Home Insurance,29927,Rejected
380,2025-07-15,KwaZulu-Natal,Life Insurance,48068,Rejected
308,2025-07-15,Limpopo,Health Insurance,41546,Approved
783,2025-07-17,Eastern Cape,Home Insurance,44427,Rejected
169,2025-07-17,Eastern Cape,Motor Vehicle,10915,Approved
522,2025-07-20,Northern Cape,Business Insurance,27400,Pending
970,2025-07-20,North West,Home Insurance,28048,Approved
94,2025-07-20,Eastern Cape,Life Insurance,3745,Pending
172,2025-07-20,Gauteng,Life Insurance,25734,Rejected
61,2025-07-21,Free State,Health Insurance,3100,Rejected
851,2025-07-21,Northern Cape,Motor Vehicle,20238,Rejected
491,2025-07-22,Mpumalanga,Home Insurance,19504,Approved
163,2025-07-22,Gauteng,Home Insurance,9682,Rejected
341,2025-07-23,Western Cape,Motor Vehicle,44410,Approved
607,2025-07-24,Northern Cape,Life Insurance,24580,Approved
52,2025-07-25,North West,Home Insurance,9547,Rejected
578,2025-07-26,Mpumalanga,Motor Vehicle,20552,Rejected
106,2025-07-26,Gauteng,Health Insurance,30336,Pending
201,2025-07-27,Free State,Life Insurance,31722,Rejected
964,2025-07-28,Limpopo,Home Insurance,37661,Approved
828,2025-07-29,Limpopo,Business Insurance,13356,Pending
859,2025-07-29,Eastern Cape,Health Insurance,19978,Approved
679,2025-07-31,Limpopo,Health Insurance,43051,Approved
490,2025-08-01,North West,Home Insurance,19908,Rejected
638,2025-08-02,North West,Life Insurance,30340,Pending
885,2025-08-03,Mpumalanga,Health Insurance,15955,Pending
431,2025-08-03,KwaZulu-Natal,Health Insurance,8214,Approved
9,2025-08-03,Free State,Health Insurance,2316,Rejected
805,2025-08-04,Western Cape,Life Insurance,32707,Pending
655,2025-08-04,Western Cape,Motor Vehicle,4849,Rejected
455,2025-08-05,Western Cape,Life Insurance,44733,Approved
541,2025-08-05,Eastern Cape,Motor Vehicle,46580,Pending
70,2025-08-05,Limpopo,Life Insurance,38261,Pending
398,2025-08-05,Gauteng,Motor Vehicle,26275,Rejected
342,2025-08-06,Eastern Cape,Motor Vehicle,2132,Pending
826,2025-08-06,Mpumalanga,Home Insurance,16954,Rejected
102,2025-08-06,Gauteng,Motor Vehicle,29038,Rejected
470,2025-08-08,KwaZulu-Natal,Business Insurance,13067,Rejected
154,2025-08-08,Gauteng,Business Insurance,49152,Rejected
249,2025-08-08,Free State,Life Insurance,20596,Rejected
336,2025-08-08,Western Cape,Home Insurance,13996,Pending
904,2025-08-10,KwaZulu-Natal,Life Insurance,45571,Rejected
428,2025-08-11,KwaZulu-Natal,Home Insurance,24736,Pending
353,2025-08-11,Eastern Cape,Home Insurance,10065,Approved
712,2025-08-11,Eastern Cape,Motor Vehicle,26640,Approved
536,2025-08-12,Eastern Cape,Business Insurance,19624,Rejected
129,2025-08-13,Western Cape,Home Insurance,3204,Pending
730,2025-08-13,Free State,Health Insurance,11442,Approved
779,2025-08-13,Limpopo,Motor Vehicle,5458,Pending
138,2025-08-13,North West,Home Insurance,22607,Pending
155,2025-08-13,North West,Home Insurance,47473,Rejected
954,2025-08-14,KwaZulu-Natal,Health Insurance,13816,Rejected
238,2025-08-14,Gauteng,Business Insurance,34650,Approved
493,2025-08-15,Free State,Motor Vehicle,38125,Pending
211,2025-08-15,North West,Business Insurance,25272,Rejected
804,2025-08-16,KwaZulu-Natal,Motor Vehicle,9003,Approved
687,2025-08-16,Western Cape,Motor Vehicle,16596,Approved
579,2025-08-17,Northern Cape,Home Insurance,11808,Pending
760,2025-08-17,Western Cape,Home Insurance,24248,Approved
922,2025-08-17,Western Cape,Home Insurance,15665,Rejected
492,2025-08-17,KwaZulu-Natal,Health Insurance,22644,Approved
711,2025-08-17,North West,Business Insurance,36192,Pending
437,2025-08-18,Gauteng,Home Insurance,29884,Approved
233,2025-08-18,Western Cape,Motor Vehicle,40954,Rejected
90,2025-08-19,Northern Cape,Motor Vehicle,12950,Rejected
672,2025-08-19,Free State,Health Insurance,48994,Approved
791,2025-08-19,Gauteng,Home Insurance,17446,Rejected
127,2025-08-19,Eastern Cape,Home Insurance,29572,Approved
